No.	Z Error(mm)	3D Error
1	6.080000	16.274848
2	2.240000	3.071661
3	1.920000	3.641101
4	0.000000	1.841297
5	1.280000	3.076046
6	1.920000	3.178184
7	2.560000	3.333458
8	1.920000	2.893947
9	2.240000	2.684860
10	0.320000	0.553716
11	0.960000	1.576445
12	2.880000	3.998684
13	0.320000	1.470598
14	0.000000	1.910303
15	1.280000	1.793001
16	1.920000	2.254118
17	2.880000	3.890168
18	0.640000	2.216188
19	5.760000	7.968433
20	1.600000	3.299130
21	0.640000	1.349336
22	0.640000	2.336972
23	2.880000	3.496275
24	0.960000	1.309631
25	2.240000	3.031634
26	2.240000	2.993001
27	1.920000	2.648838
28	0.000000	0.769846
29	6.080000	12.725465
30	5.440000	6.272003
31	0.960000	1.336079
32	1.280000	2.395694
33	0.000000	0.584786
34	0.640000	1.313454
35	1.280000	2.265707
36	1.280000	1.767080
37	0.320000	0.575553
38	2.240000	2.678729
39	0.640000	1.105360
40	0.000000	0.798013
41	0.320000	0.667404
42	1.920000	3.697604
43	0.320000	2.636064
44	1.600000	2.306318
45	0.960000	1.889567
46	0.640000	1.094951
47	1.280000	2.043468
48	1.920000	2.881470
49	2.880000	4.304067
50	1.600000	2.822185
51	4.800000	6.254869
52	0.000000	0.086858
53	1.920000	2.897381
54	1.600000	2.205380
55	2.240000	5.030331
56	3.200000	5.445578
57	0.960000	2.868924
58	3.840000	4.423691
59	2.880000	5.397868
60	0.640000	0.850568
61	1.280000	2.114918
62	3.200000	4.207007
63	7.360000	9.444864
64	6.400000	8.355853
65	1.920000	2.935185
66	2.560000	3.908263
67	2.240000	3.860820
68	3.520000	4.542324
69	2.240000	3.149127
70	3.200000	3.799395
71	2.880000	3.952476
72	2.240000	3.020699
73	1.280000	1.620720
74	3.200000	4.448957
75	3.200000	4.587327
76	0.000000	1.571181
77	1.600000	2.492408
78	1.600000	1.977198
79	0.320000	0.432537
80	1.280000	2.253871
81	1.920000	2.191585
82	4.480000	5.552382
83	0.320000	1.516395
84	1.600000	1.838697
85	1.600000	2.835317
86	0.640000	0.841356
87	1.600000	3.023446
88	1.280000	2.541715
89	2.240000	2.938490
90	2.240000	2.904789
91	0.320000	0.997612
92	0.320000	1.739686
93	0.320000	0.685106
94	2.880000	3.346235
95	4.160000	5.958324
96	2.240000	2.680394
97	0.640000	1.125766
98	0.960000	3.595526
99	3.520000	5.340388
100	0.320000	2.969651
101	2.560000	3.722273
102	2.880000	4.900502
103	2.240000	3.044196
104	0.640000	1.050689
105	1.600000	1.872500
106	0.960000	4.670663
107	1.600000	4.210142
108	1.280000	6.294671
109	1.600000	2.001146
110	3.840000	6.645494
111	0.640000	1.680973
112	1.920000	3.275971
113	1.920000	2.635167
114	3.200000	4.145798
115	1.280000	1.885875
116	0.000000	1.153705
117	0.320000	1.921845
118	1.600000	2.391550
119	1.920000	3.235036
120	0.960000	3.015526
121	3.520000	4.009369
122	4.480000	5.299857
123	0.960000	1.772216
124	4.480000	4.973914
125	1.280000	1.600597
126	1.600000	2.592350
127	0.640000	1.217216
128	1.280000	2.146475
129	0.000000	3.678594
130	7.040000	8.208424
131	5.120000	6.098829
132	0.640000	1.535362
133	0.000000	0.455482
134	0.000000	1.333157
135	1.920000	3.263826
136	0.640000	2.662612
137	0.320000	2.367021
138	4.160000	4.868509
139	1.920000	3.199902
140	0.960000	1.686501
141	0.320000	1.407131
142	4.800000	5.286544
143	4.480000	6.069802
144	3.200000	5.377352
145	1.600000	2.554828
146	2.560000	3.117520
147	2.240000	2.625134
148	14.720000	19.538626
149	3.200000	4.210056
150	0.000000	0.545679
151	0.640000	1.254271
152	0.960000	1.109152
153	3.520000	4.029703
154	1.600000	1.858542
155	0.320000	1.032788
156	0.000000	0.155942
157	1.600000	2.301873
158	2.880000	3.690773
159	0.320000	1.067507
160	0.960000	1.430863
161	1.600000	2.099066
162	0.960000	1.241874
163	1.280000	1.801828
164	0.960000	1.223491
165	1.280000	1.887681
166	1.280000	1.614298
167	0.960000	1.077398
168	0.000000	1.838238
169	0.320000	0.640127
170	1.280000	1.715753
171	0.640000	1.208023
172	0.640000	1.043670
173	0.000000	0.488997
174	6.080000	9.319738
175	1.280000	1.687622
176	1.600000	2.242867
177	1.280000	1.700793
178	0.640000	1.110182
179	0.320000	0.559748
180	0.320000	0.745813
181	5.120000	6.528695
182	1.280000	1.702789
183	2.560000	3.623275
184	0.000000	2.304475
185	1.280000	1.709226
186	0.960000	2.089980
187	2.240000	3.258574
188	4.800000	5.908984
189	1.920000	2.781250
190	0.320000	2.600609
191	1.600000	4.201955
192	1.600000	1.918682
193	1.280000	1.669054
194	0.320000	0.464756
195	0.960000	2.490586
